window_s,model,input_group,test_macro_f1,test_balanced_accuracy,slbic_recall,delta_macro_f1_vs_A,delta_balanced_accuracy_vs_A,delta_slbic_recall_vs_A
30,naive_majority,A_strict_38,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
30,logistic_regression,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,random_forest,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,hist_gradient_boosting,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,naive_majority,B_without_potential_leakage,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
30,logistic_regression,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,random_forest,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,hist_gradient_boosting,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,naive_majority,C_without_SLBIC_initial,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
30,logistic_regression,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,random_forest,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
30,hist_gradient_boosting,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,naive_majority,A_strict_38,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
60,logistic_regression,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,random_forest,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,hist_gradient_boosting,A_strict_38,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,naive_majority,B_without_potential_leakage,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
60,logistic_regression,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,random_forest,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,hist_gradient_boosting,B_without_potential_leakage,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,naive_majority,C_without_SLBIC_initial,0.012531328320802004,0.08333333333333333,0.0,0.0,0.0,0.0
60,logistic_regression,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,random_forest,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
60,hist_gradient_boosting,C_without_SLBIC_initial,0.19275498978469274,0.2727272727272727,0.2727272727272727,0.0,0.0,0.0
